state,state_AB,year,state_year,treat,ban_policy,ban_year,total_suicide,gender,median_income,crime_rate,diversity,median_age,pol_aff,education_rate
Vermont,VT,2008,VT2008,1,0,2016,15.100,,,,,,,
Washington,WA,2008,WA2008,1,0,2018,13.500,,,,,,,
West Virginia,WV,2008,WV2008,0,0,0,14.200,,,,,,,
Wyoming,WY,2008,WY2008,0,0,0,22.700,,,,,,,
Alabama,AL,2009,AL2009,0,0,0,14.100,,,,,,,
Alaska,AK,2009,AK2009,0,0,0,20.500,,,,,,,
Arizona,AZ,2009,AZ2009,0,0,0,16.700,,,,,,,
Arkansas,AR,2009,AR2009,0,0,0,14.600,,,,,,,
California,CA,2009,CA2009,1,0,2013,10.300,,,,,,,
Colorado,CO,2009,CO2009,1,0,2019,18.900,,,,,,,
Connecticut,CT,2009,CT2009,1,0,2017,8.900,,,,,,,
Delaware,DE,2009,DE2009,1,0,2018,12.000,,,,,,,
Florida,FL,2009,FL2009,0,0,0,15.300,,,,,,,
Georgia,GA,2009,GA2009,0,0,0,11.800,,,,,,,
Hawaii,HI,2009,HI2009,1,0,2018,12.900,,,,,,,
Idaho,ID,2009,ID2009,0,0,0,19.600,,,,,,,
Illinois,IL,2009,IL2009,1,0,2016,9.200,,,,,,,
Indiana,IN,2009,IN2009,0,0,0,12.800,,,,,,,
Iowa,IA,2009,IA2009,0,0,0,11.900,,,,,,,
Kansas,KS,2009,KS2009,0,0,0,13.500,,,,,,,
Kentucky,KY,2009,KY2009,0,0,0,13.700,,,,,,,
Louisiana,LA,2009,LA2009,0,0,0,10.900,,,,,,,
Maine,ME,2009,ME2009,1,0,2019,14.800,,,,,,,
Maryland,MD,2009,MD2009,1,0,2018,9.600,,,,,,,
Massachusetts,MA,2009,MA2009,1,0,2019,8.100,,,,,,,
Michigan,MI,2009,MI2009,0,0,0,11.800,,,,,,,
Mississippi,MS,2009,MS2009,0,0,0,12.900,,,,,,,
Missouri,MO,2009,MO2009,0,0,0,14.400,,,,,,,
Montana,MT,2009,MT2009,0,0,0,22.200,,,,,,,
Nebraska,NE,2009,NE2009,0,0,0,9.400,,,,,,,
Nevada,NV,2009,NV2009,1,0,2018,18.700,,,,,,,
New Hampshire,NH,2009,NH2009,1,0,2019,12.600,,,,,,,
New Jersey,NJ,2009,NJ2009,1,0,2013,6.300,,,,,,,
New Mexico,NM,2009,NM2009,1,0,2017,18.400,,,,,,,
New York,NY,2009,NY2009,1,0,2019,7.300,,,,,,,
North Carolina,NC,2009,NC2009,0,0,0,12.400,,,,,,,
Ohio,OH,2009,OH2009,0,0,0,10.200,,,,,,,
Oklahoma,OK,2009,OK2009,0,0,0,15.200,,,,,,,
Oregon,OR,2009,OR2009,1,0,2015,16.900,,,,,,,
Pennsylvania,PA,2009,PA2009,0,0,0,12.900,,,,,,,
Rhode Island,RI,2009,RI2009,1,0,2017,11.100,,,,,,,
South Carolina,SC,2009,SC2009,0,0,0,13.400,,,,,,,
South Dakota,SD,2009,SD2009,0,0,0,16.000,,,,,,,
Tennessee,TN,2009,TN2009,0,0,0,14.900,,,,,,,
Texas,TX,2009,TX2009,0,0,0,11.300,,,,,,,
